,X.1,Title,Studio,calWeeklyGross,totTheatreCount,totGross,totBudget,WeeksOn,startYear,startWeek,X,Search,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDBRating,RTRating,Metacritic,IMDBVotes,imdbID,Type,DVD,Production,Website
1,1,'71,RAtt.,1420100,518,1368300,         NA,9,2015,9,1,'71,NA,R,10/10/2014,99 min,"Action, Drama, Thriller",Yann Demange,Gregory Burke,"Jack O'Connell, Jack Lowden, Paul Popplewell, Adam Nagaitis","In 1971, a young and disorientated British soldier is accidentally abandoned by his unit following a riot on the deadly streets of Belfast.",English,UK,Nominated for 1 BAFTA Film Award. Another 12 wins & 25 nominations.,https://m.media-amazon.com/images/M/MV5BMTg1NjE5Njg4M15BMl5BanBnXkFtZTgwMzEyODAzNDE@._V1_SX300.jpg,72,95,83,43774,tt2614684,movie,7/07/2015,Roadside Attractions,http://71themovie.com/
2,2,"1,000 Rupee Note",KL,2600,1,2600,         NA,1,2016,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,"1,000 Times Good Night",FM,60200,51,60200,         NA,4,2014,43,2,"1,000 Times Good Night",NA,NOT RATED,24/10/2014,117 min,"Drama, War",Erik Poppe,"Erik Poppe, Harald Rosenløw-Eeg, Jan Trygve Røyneland, Kirsten Sheridan (additional material by)","Juliette Binoche, Nikolaj Coster-Waldau, Lauryn Canny, Adrianna Cramer Curtis",Rebecca is one of the world's top war photographers. She must weather a major emotional storm when her husband refuses to put up with her dangerous life any longer. He and their young ...,"Norwegian, English","Norway, Ireland, Sweden",6 wins & 14 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxNjM2OTE2N15BMl5BanBnXkFtZTgwMzEzMTkzMjE@._V1_SX300.jpg,71,71,57,6165,tt2353767,movie,2/02/2015,Film Movement,http://www.filmmovement.com/theatrical/index.asp?MerchandiseID=369
4,4,10 Cloverfield Lane,Par.,77633500,16734,76541700,         NA,9,2016,11,3,10 Cloverfield Lane,NA,PG-13,11/03/2016,103 min,"Drama, Horror, Mystery",Dan Trachtenberg,"Josh Campbell (screenplay by), Matthew Stuecken (screenplay by), Damien Chazelle (screenplay by), Josh Campbell (story by), Matthew Stuecken (story by)","John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin","After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",English,USA,13 wins & 45 nominations.,https://m.media-amazon.com/images/M/MV5BMjEzMjczOTIxMV5BMl5BanBnXkFtZTgwOTUwMjI3NzE@._V1_SX300.jpg,72,90,76,240865,tt1179933,movie,14/06/2016,Bad Robot Productions,http://www.10cloverfieldlane.com/
5,5,10 Days in a Madhouse,CafeP,13000,1,13000,         NA,1,2015,46,4,10 Days in a Madhouse,NA,R,11/11/2015,111 min,Drama,Timothy Hines,Timothy Hines,"Caroline Barry, Christopher Lambert, Kelly LeBrock, Julia Chantrey","In 1887, at age 23, reporter Nellie Bly, working for Joseph Pulitzer, feigns mental illness to go undercover in notorious Blackwell's Island a woman's insane asylum to expose corruption, abuse and murder.",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BOTI3MDU4ODc2OF5BMl5BanBnXkFtZTgwNzYwMjY1NjE@._V1_SX300.jpg,71,NA,NA,758,tt3453052,movie,NA,N/A,N/A
6,6,"10,000 Km",BG,14000,11,14000,         NA,1,2015,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7,1001 Grams,KL,900,2,11700,         NA,24,2015,41,5,1001 Grams,NA,NOT RATED,26/09/2014,93 min,Drama,Bent Hamer,Bent Hamer,"Ane Dahl Torp, Laurent Stocker, Hildegun Riise, Stein Winge","When Norwegian scientist Marie attends a seminar in Paris on the actual weight of a kilo, it is her own measurement of disappointment, grief and, not least, love, that ends up on the scale.","Norwegian, French, English","Norway, Germany",3 wins & 8 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxNjEyMzgwMl5BMl5BanBnXkFtZTgwOTY5MjE2MjE@._V1_SX300.jpg,63,81,65,1134,tt3346824,movie,5/10/2015,Kino Lorber,N/A
8,8,102 Not Out,Sony,1328100,366,1328000,         NA,5,2018,18,6,102 Not Out,NA,PG,4/05/2018,102 min,"Comedy, Drama",Umesh Shukla,Saumya Joshi,"Amitabh Bachchan, Rishi Kapoor, Jimit Trivedi, Dharmendra Gohil","102 Not Out is a 2018 comedy-drama film, with legendary actor Amitabh Bachchan playing a 102-year-old wanting to break the oldest-man-alive record. Another Bollywood legend Rishi Kapoor plays his sad and grumpy 75-year-old son.",Hindi,India,N/A,https://ia.media-imdb.com/images/M/MV5BZDRlM2Q3NTAtY2I3My00ZTNmLWE0YzAtMTA1YjA4MzcyZTQzXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,76,71,NA,1217,tt6580564,movie,NA,Benchmark Pictures,N/A
9,9,10x10,VE,2200,10,2200,         NA,1,2018,15,7,10x10,NA,N/A,13/04/2018,88 min,Thriller,Suzi Ewing,"Noel Clarke (screenplay), Suzi Ewing (additional material)","Kelly Reilly, Luke Evans, Noel Clarke, Jason Maza","Lewis (Luke Evans) is an outwardly ordinary guy, but in reality he is hiding an obsession - revenge - against Cathy (Kelly Reilly). Lewis kidnaps Cathy in broad daylight and takes her to ...",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BNDc1MTk3NDIzOF5BMl5BanBnXkFtZTgwNzUxNDIyNTM@._V1_SX300.jpg,49,67,NA,1984,tt6210996,movie,13/04/2018,Vertical Entertainment,N/A
10,10,12 Days,Distrib.,2600,3,2700,         NA,2,2018,11,8,12 Days,NA,N/A,29/11/2017,87 min,Documentary,Raymond Depardon,N/A,N/A,N/A,French,France,3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNzE3MzU4NjQzMV5BMl5BanBnXkFtZTgwNDQ0ODIzMjI@._V1_SX300.jpg,70,95,NA,40,tt6777114,movie,NA,DistriB Films,N/A
