,Search,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDBRating,RTRating,Metacritic,IMDBVotes,imdbID,Type,DVD,Production,Website
1,'71,'71,NA,R,10/10/2014,99 min,"Action, Drama, Thriller",Yann Demange,Gregory Burke,"Jack O'Connell, Jack Lowden, Paul Popplewell, Adam Nagaitis","In 1971, a young and disorientated British soldier is accidentally abandoned by his unit following a riot on the deadly streets of Belfast.",English,UK,Nominated for 1 BAFTA Film Award. Another 12 wins & 25 nominations.,https://m.media-amazon.com/images/M/MV5BMTg1NjE5Njg4M15BMl5BanBnXkFtZTgwMzEyODAzNDE@._V1_SX300.jpg,72,95,83,43774,tt2614684,movie,7/07/2015,Roadside Attractions,http://71themovie.com/
2,10 Cloverfield Lane,10 Cloverfield Lane,NA,PG-13,11/03/2016,103 min,"Drama, Horror, Mystery",Dan Trachtenberg,"Josh Campbell (screenplay by), Matthew Stuecken (screenplay by), Damien Chazelle (screenplay by), Josh Campbell (story by), Matthew Stuecken (story by)","John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin","After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",English,USA,13 wins & 45 nominations.,https://m.media-amazon.com/images/M/MV5BMjEzMjczOTIxMV5BMl5BanBnXkFtZTgwOTUwMjI3NzE@._V1_SX300.jpg,72,90,76,240865,tt1179933,movie,14/06/2016,Bad Robot Productions,http://www.10cloverfieldlane.com/
3,102 Not Out,102 Not Out,NA,PG,4/05/2018,102 min,"Comedy, Drama",Umesh Shukla,Saumya Joshi,"Amitabh Bachchan, Rishi Kapoor, Jimit Trivedi, Dharmendra Gohil","102 Not Out is a 2018 comedy-drama film, with legendary actor Amitabh Bachchan playing a 102-year-old wanting to break the oldest-man-alive record. Another Bollywood legend Rishi Kapoor plays his sad and grumpy 75-year-old son.",Hindi,India,N/A,https://ia.media-imdb.com/images/M/MV5BZDRlM2Q3NTAtY2I3My00ZTNmLWE0YzAtMTA1YjA4MzcyZTQzXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,76,71,NA,1217,tt6580564,movie,NA,Benchmark Pictures,N/A
4,10x10,10x10,NA,N/A,13/04/2018,88 min,Thriller,Suzi Ewing,"Noel Clarke (screenplay), Suzi Ewing (additional material)","Kelly Reilly, Luke Evans, Noel Clarke, Jason Maza","Lewis (Luke Evans) is an outwardly ordinary guy, but in reality he is hiding an obsession - revenge - against Cathy (Kelly Reilly). Lewis kidnaps Cathy in broad daylight and takes her to ...",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BNDc1MTk3NDIzOF5BMl5BanBnXkFtZTgwNzUxNDIyNTM@._V1_SX300.jpg,49,67,NA,1984,tt6210996,movie,13/04/2018,Vertical Entertainment,N/A
5,12 Days,12 Days,NA,N/A,29/11/2017,87 min,Documentary,Raymond Depardon,N/A,N/A,N/A,French,France,3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNzE3MzU4NjQzMV5BMl5BanBnXkFtZTgwNDQ0ODIzMjI@._V1_SX300.jpg,70,95,NA,40,tt6777114,movie,NA,DistriB Films,N/A
6,12 Strong,12 Strong,NA,R,19/01/2018,130 min,"Action, Drama, History",Nicolai Fuglsig,"Ted Tally, Peter Craig, Doug Stanton (based on the book,  ""Horse Soldiers"" by)","Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban","12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.","English, Pushto, Russian",USA,N/A,https://m.media-amazon.com/images/M/MV5BNTEzMjk3NzkxMV5BMl5BanBnXkFtZTgwNjY2NDczNDM@._V1_SX300.jpg,66,54,54,32146,tt1413492,movie,1/05/2018,Warner Bros. Pictures,https://12strongmovie.com/
7,13 Minutes,13 Minutes,NA,R,30/06/2017,114 min,"Biography, Drama, War",Oliver Hirschbiegel,"Léonie-Claire Breinersdorfer (screenplay), Fred Breinersdorfer (screenplay)","Christian Friedel, Katharina Schüttler, Burghart Klaußner, Johann von Bülow","In November 1939, Georg Elser's attempt to assassinate Adolf Hitler fails, and he is arrested. During his confinement, he recalls the events leading up to his plot and his reasons for deciding to take such drastic action.",German,Germany,4 wins & 16 nominations.,https://m.media-amazon.com/images/M/MV5BMTU3MzYzNDEzN15BMl5BanBnXkFtZTgwODM5NTY0MTI@._V1_SX300.jpg,70,76,58,6463,tt1708135,movie,NA,Sony Pictures Classics,http://sonyclassics.com/13minutes/#
8,1915,1915,NA,N/A,23/04/2015,82 min,Drama,"Garin Hovannisian, Alec Mouhibian","Garin Hovannisian, Alec Mouhibian","Simon Abkarian, Angela Sarafyan, Sam Page, Nikolai Kinski","Exactly 100 years after the Armenian Genocide, a theatre director stages a play to bring the ghosts of the past back to life.",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BNTMxNDczNDQyM15BMl5BanBnXkFtZTgwMzE3NjkwNTE@._V1_SX300.jpg,48,40,NA,4338,tt3781762,movie,NA,Bloodvine Media,http://www.1915themovie.com/
9,1945,1945,NA,N/A,1/11/2017,91 min,Drama,Ferenc Török,"Gábor T. Szántó, Ferenc Török, Krisztina Esztergályos (dramaturge)","Péter Rudolf, Bence Tasnádi, Tamás Szabó Kimmel, Dóra Sztarenki","12 August 1945, 11 AM. Two mysterious strangers dressed in black appear at the railway station of a Hungarian village. Within a few hours, everything changes.","Hungarian, Russian",Hungary,1 win & 4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BOWZmMWViYjctNTIzNi00YTZhLWE0NGItMmZlMWNjMDBhM2Q0XkEyXkFqcGdeQXVyMjIzMDAwOTc@._V1_SX300.jpg,76,96,80,568,tt5815492,movie,NA,Katapult Film,http://katapultfilm.hu/film.php?id_film=14
10,2:22,2:22,NA,PG-13,30/06/2017,98 min,Thriller,Paul Currie,"Todd Stein (screenplay by), Nathan Parker (screenplay by), Todd Stein (story by)","Teresa Palmer, Michiel Huisman, Simone Kessell, Sam Reid","A man's life is derailed when an ominous pattern of events repeats itself in exactly the same manner every day, ending at precisely 2:22 p.m.",English,"Australia, USA",1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNDQyMTUyMDExNl5BMl5BanBnXkFtZTgwODkxODEyMjI@._V1_SX300.jpg,57,22,NA,13163,tt1131724,movie,30/06/2017,Magnolia Pictures,https://www.lightstreamentertainment.com/2-22
