"Title","Studio","calWeeklyGross","totTheatreCount","totGross","totBudget","WeeksOn","startYear","startWeek"
"'71","RAtt.",1420100,518,1368300,"         NA","9",2015,9
"1,000 Rupee Note","KL",2600,1,2600,"         NA","1",2016,39
"1,000 Times Good Night","FM",60200,51,60200,"         NA","4",2014,43
"10 Cloverfield Lane","Par.",77633500,16734,76541700,"         NA","9",2016,11
"10 Days in a Madhouse","CafeP",13000,1,13000,"         NA","1",2015,46
"10,000 Km","BG",14000,11,14000,"         NA","1",2015,28
"1001 Grams","KL",900,2,11700,"         NA","24",2015,41
"102 Not Out","Sony",1328100,366,1328000,"         NA","5",2018,18
"10x10","VE",2200,10,2200,"         NA","1",2018,15
"12 Days","Distrib.",2600,3,2700,"         NA","2",2018,11
"12 Strong","WB",46046600,12713,46046600,"         NA","9",2018,3
"13 Hours: The Secret Soldiers of Benghazi","Par.",57103600,12523,57103700,"    5000000","9",2016,3
"13 Minutes","SPC",167600,132,166300,"         NA","9",2017,26
"1898: Los ultimos de Filipinas","Sony",3000,10,3000,"         NA","1",2017,9
"1915","BM",101700,41,105700,"         NA","8",2015,16
"1945","Men.",823600,308,813700,"         NA","9",2017,43
"2:22","Magn.",400,3,400,"         NA","1",2017,26
"20 Once Again","CJ",255000,29,255000,"         NA","3",2015,3
"20,000 Days on Earth","Drft.",313600,154,319200,"         NA","9",2014,37
"2001: A Space Odyssey (2018 re-release)","WB",1256900,48,1256900,"         NA","8",2018,20
"2015 Oscar Nominated Short Films","Shrts.",2754300,870,2754300,"         NA","7",2015,5
"2016 Oscar Nominated Short Films","Shrts.",3043400,1010,3043300,"         NA","8",2016,5
"20th Century Women","A24",5746000,2050,5896000,"         NA","9",2016,52
"22 Jump Street","Sony",76892200,15860,219136800,"    5000000","9",2014,26
"23 Blast","OAE",613300,785,613400,"         NA","4",2014,43
"24 Frames","Jan.",35000,7,34900,"         NA","7",2018,5
"3 1/2 Minutes, 10 Bullets","Part.",33400,20,33400,"         NA","6",2015,25
"3 Generations","Wein.",152500,43,152500,"         NA","2",2017,18
"3 Hearts","Cohen",177900,88,173500,"         NA","9",2015,11
"3 Idiotas","PNT",1293900,786,1293900,"         NA","4",2017,22
"3 Nights in the Desert","Mont.",1400,3,1300,"         NA","4",2015,6
"3 Weeks in Yerevan","RME",31900,3,31900,"         NA","1",2016,38
"30-Love","N/A",4400,1,4400,"         NA","1",2017,39
"30 Years of Garbage: The Garbage Pail Kids Story","Indic.",28600,26,28100,"         NA","9",2017,32
"31","Saban",844100,853,819700,"         NA","5",2016,35
"33 & Beyond","Gathr",800,1,16700,"         NA","23",2018,11
"4 Days in France","CGld",12200,7,12400,"         NA","8",2017,31
"45 Years","IFC",4586500,1286,4576600,"         NA","9",2015,51
"47 Meters Down","ENTMP",45928900,12262,45971100,"     550000","9",2017,24
"5 Flights Up","Focus",1110100,457,1147100,"         NA","7",2015,19
"5 to 7","IFC",149700,96,149600,"         NA","6",2015,14
"50 to 1","10F",356900,220,1206200,"         NA","30",2014,26
"7 Chinese Brothers","Scre.",31800,18,31700,"         NA","4",2015,35
"7 Days in Entebbe","Focus",3363700,1783,3287900,"         NA","4",2018,11
"7 From Etheria","PDF",1000,1,1000,"         NA","1",2017,27
"7 Witches","Indic.",31400,16,31300,"         NA","9",2017,16
"78/52: Hitchcock's Shower Scene","IFC",37900,48,38000,"         NA","5",2017,41
"90 Minutes in Heaven","Gold.",5399900,2506,5156400,"     500000","7",2015,37
"93Queen","Abr.",44800,5,44900,"         NA","3",2018,29
"99 Homes","BG",1504600,1156,1504400,"     800000","9",2015,39
"A Aa","BSC",2456100,325,2456100,"         NA","2",2016,22
"A Bad Moms Christmas","STX",72818400,22117,72976600,"    2800000","9",2017,43
"A Ballerina's Tale","IFC",100700,54,100800,"         NA","5",2015,42
"A Beautiful Now","Mont.",NA,11,1800,"         NA","7",2016,36
"A Beautiful Planet","Imax",15460200,2717,14806900,"         NA","99",2016,18
"A Beginner's Guide to Snuff","Indic.",21800,17,21800,"         NA","9",2017,25
"A Bigger Splash","FoxS",2150100,892,2204900,"         NA","9",2016,18
"A Bit of Bad Luck","Indic.",19200,21,19100,"         NA","9",2016,20
"A Borrowed Identity","Strand",316200,119,311500,"         NA","9",2015,26
"A Boy Called Po","Free",4700,10,4700,"         NA","1",2017,35
"A Brilliant Young Mind","Gold.",169500,61,164000,"         NA","5",2015,37
"A Ciambra","IFC",31300,14,31400,"         NA","4",2018,3
"A Coffee in Berlin","MBox",139200,62,172400,"         NA","9",2014,26
"A Cure for Wellness","Fox",8501300,5541,8501300,"    4000000","5",2017,7
"A Different American Dream","FRun",1200,1,1200,"         NA","1",2017,1
"A Dog's Purpose","Uni.",67633900,18021,66815100,"    2200000","9",2017,4
"A Fantastic Woman","SPC",2038700,879,1997100,"         NA","9",2018,5
"A Five Star Life","MBox",352200,118,350200,"         NA","9",2014,29
"A Fool (Yi ge shao zi)","CL",8800,2,8800,"         NA","1",2015,48
"A Gentleman","FIP",425600,282,425700,"         NA","3",2017,34
"A Ghost Story","A24",1657100,768,1657200,"      10000","9",2017,27
"A Girl Walks Home Alone at Night","KL",502000,227,479100,"         NA","9",2014,46
"A Hard Day","KL",2500,4,17600,"         NA","13",2015,39
"A Hard Day's Night (2014 re-release)","Jan.",551200,198,551300,"         NA","2",2014,27
"A Hologram for the King","RAtt.",4473200,1926,4588700,"         NA","9",2016,17
"A Journey Through Time with Anthony","CL",134200,30,134200,"         NA","2",2015,47
"A Kid Like Jake","IFC",41300,38,41300,"         NA","5",2018,22
"A Kind of Loving (2017 re-release)","Rialto",7200,1,7200,"         NA","1",2017,14
"A Kind of Murder","Magn.",3100,6,3100,"         NA","2",2016,51
"A La Mala","LGF",4137300,1232,4027700,"         NA","5",2015,9
"A LEGO Brickumentary","RTWC",114200,131,114100,"         NA","4",2015,31
"A Letter to Momo","GK",82100,39,80100,"         NA","9",2014,29
"A Little Chaos","Focus",627200,251,627200,"         NA","4",2015,26
"A Long Way Down","Magn.",15300,9,15300,"         NA","3",2014,28
"A Long Way Off","MVE",3300,3,34500,"      50000","9",2014,28
"A Man Called Ove","MBox",3642800,1264,3648600,"         NA","9",2016,40
"A Master Builder","Abr.",51000,18,51100,"         NA","9",2014,29
"A Matter of Faith","5&2",754000,272,740900,"         NA","9",2014,42
"A Melody to Remember","CJ",47600,18,47600,"         NA","3",2016,5
"A Million Ways to Die in the West","Uni.",1792000,616,49012800,"    4000000","7",2014,26
"A Monster Calls","Focus",3881200,3082,3922800,"         NA","5",2016,52
"A Monster with a Thousand Heads","MBox",20900,16,27100,"         NA","9",2016,20
