"","ThisWeek","LastWeek","Title","Studio","WeeklyGross","PctChange","TheatreCount","TheatreChange","Average","TotalGross","Budget","WeekNum","calYear","calWeek"
"1","1","N","Transformers: Age of Extinction","Par.","$158,721,000","-","4,233","-","$303,000","$158,721,000","$210","1",2014,26
"2","2","1","22 Jump Street","Sony","$28,715,700","-40.4%","3,324","+18","$69,800","$171,479,300","$50","3",2014,26
"3","3","2","How to Train Your Dragon 2","Fox","$25,859,400","-42.0%","3,297","-971","$63,400","$150,585,100","$145","3",2014,26
"4","4","3","Think Like a Man Too","SGem","$16,670,400","-61.5%","1,729","-496","$77,900","$60,001,100","$24","2",2014,26
"5","5","4","Maleficent","BV","$16,207,700","-31.6%","2,443","-1,007","$53,600","$238,358,900","$180","5",2014,26
"6","6","5","Jersey Boys","WB","$13,541,700","-40.2%","2,630","-275","$41,600","$36,180,300","$40","2",2014,26
"7","7","-","Tammy","WB (NL)","$13,457,000","-","3,400","-","$32,000","$13,457,000","$20","-",2014,26
"8","8","7","The Fault in our Stars","Fox","$9,933,700","-40.8%","1,866","-1,474","$43,000","$130,105,300","$12","4",2014,26
"9","9","6","Edge of Tomorrow","WB","$9,502,300","-43.9%","1,538","-1,674","$49,900","$100,073,700","$178","4",2014,26
"10","10","-","Deliver Us From Evil","SGem","$6,323,600","-","3,049","-","$16,800","$6,323,600","$30","-",2014,26
"11","11","-","Earth to Echo","Rela.","$5,969,200","-","3,229","-","$14,900","$5,969,200","$13","-",2014,26
"12","12","8","X-Men: Days of Future Past","Fox","$5,881,600","-46.0%","1,040","-1,641","$45,700","$258,389,800","$200","6",2014,26
"13","13","10","Chef","ORF","$2,989,500","-2.0%","801","-160","$30,200","$23,360,600","-","8",2014,26
"14","14","9","Godzilla (2014)","WB","$1,604,500","-53.2%","352","-1,013","$36,800","$226,568,500","$160","7",2014,26
"15","15","N","America (2014)","LGF","$1,513,200","-","1,105","-","$11,100","$1,513,200","-","1",2014,26
"16","16","12","Neighbors","Uni.","$1,338,000","-44.6%","298","-735","$36,300","$169,362,900","$18","8",2014,26
"17","17","13","Blended","WB","$1,024,800","-44.2%","305","-537","$27,200","$50,303,500","$40","6",2014,26
"18","18","11","A Million Ways to Die in the West","Uni.","$945,600","-66.5%","201","-1,216","$38,000","$48,166,300","$40","5",2014,26
